isos,enu_tfec_total_pc,enu_trp_total_pc,enu_hhcops_elec_pc,enu_hhcops_total_pc,ns_prosupp_pc,ns_hale,ns_unempl,ns_edu_bas,ns_h20_acc,ns_san_acc,ns_undernourished,ns_pov_gap_320,ns_pov_hcratio_nationalline,ns_doctors,ps_roadkm_pc,ps_gini,ps_gdp_ppp_pc,ps_ge,ps_va,ps_growth,ps_xpd_hlth_gov2tot,ps_xpd_gov_edu2tot,ps_soc_sec_cov,ps_unions,ps_corp_power,ps_fdi,ps_veh_pc,ps_pop_urb,ps_age_1564,ps_res_rent,ps_elec_acc,ps_nsolfuel_acc,ps_rail_pkmpc,ps_infra_qual,ps_tax_rev,ps_aid,ps_remitt,ps_soc_contr,ps_expo,ps_impo,ps_hdd,ps_cdd,ps_tmin,ps_tmean,aux_pop,aux_gdp_ext,aux_tfec_ext
WSM,,,,,87.47,62.95163,,70.15082,98.5,91.6,3.1,2,20.3,0.3805,,,5377.474,0.09021197,0.4250028,2.268827,86.48117,,,11.8,,1.726903,,19.639,56.87212,0.6560276,100,38.39199,,,0.01955713,0.1661851,22.09564,,28.39402,57.42573,,,23.8,26.7,188901,1087537000,
YEM,6.800121,3.134295,0.4568619,1.984504,59.57,56.88615,17.7,33.92222,54.9,53.3,26.2,17.3,48.6,0.3104,,39.1,3861.117,-1.275767,-1.385639,-9.173149,27.41135,,,,,-0.04439374,0.03416015,32.874,55.89634,20.26066,48.40671,67.95927,,2.62,,0.02668305,10.44746,,,,147,12337,18.6,23.85,24882790,91458280000,169206000
ZAF,56.83261,13.7554,4.613211,16.65255,84.53,51.32286,25,69.54472,92,64.7,4.5,14.55,54.35,0.7254,0.01426787,58,12253.22,0.3251969,0.5557596,1.148713,48.62455,20.62222,62.76358,29.7,228.4233,1.164114,0.1661628,63.272,64.5985,10.14608,85.4,86.69639,,3.79,25.51997,0.00275485,0.2729168,2.24747,29.72388,31.17582,3468,3592,10.6,17.75,52356380,659635000000,2975550000
ZMB,20.49514,0.8828951,0.935037,14.1669,54.43,51.35866,13.1,59.13334,63,43.2,47.7,48.5,54.7,0.1632,,50.2,3566.383,-0.4997167,-0.1434008,3.409529,51.62265,,1.61106,26.7,13.57432,6.789381,0.02231753,39.587,50.6622,19.40396,22.06256,17.32283,,2.070303,16.14834,0.04184868,0.2857069,,40.08242,39.01732,519,6964,14.5,21.4,14786580,52524900000,303053000
ZWE,28.23209,2.401706,1.028802,19.53234,50.74,47.63367,5.3,49.99333,77.5,37.3,,,,,,40.4,,-1.198275,-1.445051,8.95096,41.45295,,,7.5,,3.223668,0.05561093,32.834,55.37716,12.97443,40.46256,29.64798,,2.2,,0.08650704,,,,,1368,6488,14.2,21,14565480,24457270000,411214000
ZZBL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZZKO,29.1663,7.668956,6.263018,13.7259,,,,,,,,1,22.9,,0.001109572,31,8386.806,-0.3874948,-0.2408619,2.858579,,,44.41085,,,4.510481,,,,,100,,,,,0.09278297,16.29195,,23.25667,53.89855,,,,,1805200,15418780000,52651000
ZZYU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2,,,,
ZZZA,,,,,,,,,,,,,,,,,,,,0,,,,,,,,31.189,68.62697,,100,,,,,,,,,,,,,,161336,,
ZZZZ,32.01113,4.511017,1.460378,8.355745,,,4.381289,,92.3638,74.63128,10.22618,7.2,,1.576773,,44.6,13228.47,,,5.180383,68.72797,18.36995,,,77.35718,2.494736,0.1642403,53.81849,71.3215,3.599432,96.11852,58.11649,,3.0325,11.73071,0.0004852273,0.3977256,,32.65749,31.22116,,,,,2233937000,29643690000000,71510840000
ZZ_NaN,,,,,88.39,,,66.24766,,,10.80944,,,1.097303,,,15134.33,1.415885,1.248198,,,,,,,,,,,,,,,,,,,,56.50321,37.62967,,,22.2,21.4,,,
